,rouge,bleu,bertscore,feature_recall,feature_precision,LLM_judge_score
model,,,,,,
Qwen2.5-VL-7B-Instruct,0.138736772,0.568184949,0.518777311,0.314571278,0.360024082,
InternVL3_5-8B,0.13965902,0.582683113,0.52338177,0.297211994,0.360101976,
Qwen2.5-VL-32B-Instruct,0.095233853,0.351454636,0.48782447,0.433982115,0.356525497,
InternVL3_5-38B,0.136005345,0.615050014,0.521113217,0.266175697,0.408393866,
Qwen2.5-VL-72B-Instruct,0.133435801,0.560821578,0.513227701,0.397685429,0.365217391,
Audio-Flamingo-3,,,,,,
Qwen2.5-Omni,0.13573441,0.627365821,0.514259398,0.18148343,0.349190283,
Lingshu-32B,0.130425771,0.603437997,0.520065904,0.295633877,0.36708034,
