feature,n_pairs,bleu_corpus,rouge1_f1_mean,rougeL_f1_mean,berts_f1_mean
arm_flexion,435,3.565558265068133,0.29557318533128396,0.21297789716710203,0.6079254025015338
arm_straightening,435,4.528397009298002,0.3332374146888101,0.25253816076087227,0.6310676682954547
arms_move_simultaneously,435,3.9583959532230004,0.32994078322432696,0.26352283876665,0.6380869017935348
asynchronous_movement,435,2.731655533446606,0.3178031663703371,0.2219977008167359,0.6394829510272234
blank_stare,435,7.007343163397523,0.3458349449617387,0.2751315168148169,0.6608238650464463
clonic,435,4.750762248485287,0.36576337243403034,0.24755796775795993,0.6774024253604056
close_eyes,435,8.639046855526301,0.3742502992164648,0.31043276580768153,0.6672527452309926
eye_blinking,435,8.575627491685358,0.4581115374501152,0.36646001085231195,0.7157575616206245
face_pulling,435,2.108744143187287,0.2812419728710534,0.2141945834393476,0.6008587459038044
face_twitching,435,3.218777139885118,0.30898628563469244,0.21879271205710757,0.6368931609323655
figure4,435,5.957599915836837,0.42894455041422186,0.28533900314946364,0.6758095056846224
full_body_shaking,435,9.344519913656274,0.3540167381775046,0.2629077056073393,0.6546016103234784
head_turning,435,5.878188912063747,0.36680324163415895,0.26485798343383266,0.661693914320277
limb_automatisms,435,2.7949771033942223,0.28655090474179856,0.21968137404417365,0.6042483280444967
occur_during_sleep,434,7.329455732539799,0.3361103469813162,0.2787647550225894,0.6622005451110101
oral_automatisms,435,8.721138282881684,0.3347079145933549,0.27438768252681567,0.6542043254293245
pelvic_thrusting,435,4.554157197999584,0.3264727929523889,0.24214734675510602,0.6415589413423648
tonic,435,4.7901050029147605,0.3434110697772237,0.23201907855862688,0.652832379560361
AVG,435,5.469691659138307,0.3437644734141567,0.2579839490743629,0.6490389431960177
