feature,n_pairs,bleu_corpus,rouge1_f1_mean,rougeL_f1_mean,berts_f1_mean
arm_flexion,431,4.934684704578211,0.31656705798601875,0.23066999425893403,0.646660327911377
arm_straightening,431,6.981316156312152,0.3856071452580206,0.2947755855909046,0.6808097958564758
arms_move_simultaneously,431,6.829081339657901,0.3715647706261396,0.30244920368341455,0.6194445490837097
asynchronous_movement,431,2.0418071212466797,0.30425075351159564,0.19996838671987538,0.6235942840576172
blank_stare,431,3.36713694130461,0.26667956758510974,0.21337182442053726,0.6210437417030334
clonic,431,3.114194375935758,0.335649220057587,0.22464272978704605,0.6422505974769592
close_eyes,431,9.3594549210019,0.35982068547415424,0.3104641752936786,0.6597797274589539
eye_blinking,431,5.043686677553899,0.3790719702988449,0.29536610431708643,0.6767087578773499
face_pulling,431,3.2452125283064626,0.3067705302831124,0.24804716531138618,0.6330539584159851
face_twitching,431,2.3452592116383446,0.29839448346525954,0.20018303786181865,0.6343425512313843
figure4,431,4.994186838483161,0.39732153583428315,0.26457340614589575,0.6431288123130798
full_body_shaking,431,6.73119641211642,0.3315196539735911,0.24035940519281132,0.64471435546875
head_turning,431,6.83084991963312,0.3734501703141429,0.290532628923466,0.6771669387817383
limb_automatisms,431,3.223568551047528,0.29600191517168034,0.23541381854895518,0.6468764543533325
occur_during_sleep,431,4.2897551658696855,0.2741815905336039,0.23527790033492435,0.6419293284416199
oral_automatisms,431,8.987086535665817,0.35715467764821657,0.2943558479787479,0.6663090586662292
pelvic_thrusting,431,3.4954160684223545,0.2984882722459898,0.2300639301627489,0.6463629603385925
tonic,431,3.300769086567675,0.31931694434631946,0.20877987650306637,0.6337814927101135
AVG_18,431,4.95081458640787,0.3317672747007594,0.2510719456130721,0.646553205119239
