feature,n_pairs,bleu_corpus,rouge1_f1_mean,rougeL_f1_mean,berts_f1_mean
arm_flexion,169,4.487003817262623,0.3251549804854763,0.2429896209620391,0.641178171310199
arm_straightening,169,5.9993903930595405,0.35376354269584215,0.27237025780722934,0.6526268514303061
arms_move_simultaneously,170,3.46239469935475,0.35709461704011547,0.29787019152095834,0.6491780582596274
asynchronous_movement,170,2.569730580317917,0.31770097753479754,0.21858911526264868,0.6422190802938798
blank_stare,170,6.810999287043435,0.33870696880627593,0.27755054457034295,0.6564596800243153
clonic,170,5.391574362646419,0.38869038623858265,0.26548177851261495,0.6742674161406125
close_eyes,166,13.852800017150585,0.43617694230214343,0.3805890556438987,0.7123567652271454
eye_blinking,170,10.950535105061531,0.44434789921369283,0.3658189352463788,0.7127233936506159
face_pulling,170,5.664823828139354,0.3460154763008941,0.2828377978657778,0.6351118666284225
face_twitching,170,4.617463125960453,0.34737962152472057,0.25569331425650643,0.6668463973438039
figure4,170,5.66147383527193,0.4172792814361389,0.2822865377081555,0.67416052923483
full_body_shaking,170,9.764944836604494,0.37963266991391204,0.2875971763478069,0.6718296471764059
head_turning,170,8.570392640970926,0.397705412188844,0.31647934075111134,0.6765119312440648
ictal_vocalization,165,4.87383523333765,0.29270325984692575,0.2376014465771743,0.6368254753676328
limb_automatisms,170,3.690889691583888,0.3230975524019129,0.24602316370847002,0.6215990474995445
occur_during_sleep,169,5.131220378555076,0.3456211692460733,0.2718548711484272,0.671386646801198
oral_automatisms,170,7.435725342116192,0.34780924846645517,0.27372126625473003,0.6738288935493021
pelvic_thrusting,169,5.054283852860034,0.34124258870158997,0.2580460936626862,0.6424003261080861
tonic,170,5.638025999446827,0.34491712306221156,0.2472460395424618,0.6627958134693258
verbal_responsiveness,164,3.7235740591409665,0.2925954865502822,0.2109630702607055,0.6219489203720558
AVG,169,6.16755405429423,0.35688176019784434,0.2745804808805062,0.6598127455565688
