feature,n_pairs,bleu_corpus,rouge1_f1_mean,rougeL_f1_mean,berts_f1_mean
arm_flexion,374,3.352626750704939,0.3044379082300817,0.24821305938338215,0.6402983069419861
arm_straightening,374,3.0338979169832716,0.3344468232856118,0.25963724096314256,0.6459034085273743
arms_move_simultaneously,374,4.455287134164445,0.3822249455776225,0.3159397820036072,0.6350210905075073
asynchronous_movement,374,0.7218159935858295,0.28890229818781704,0.2099918971932843,0.6416784524917603
blank_stare,374,3.9883164535597677,0.2911019067691174,0.23125899936141855,0.6366788744926453
clonic,374,2.454147705815121,0.3221041491062859,0.23933611114710465,0.645580530166626
close_eyes,374,10.652934247557784,0.3942148964998466,0.35627031830060985,0.687332808971405
eye_blinking,374,11.85502745427321,0.44900730336371575,0.37328998710831457,0.7053102850914001
face_pulling,374,1.916620450593436,0.31519425947142676,0.26757155714653835,0.6500751972198486
face_twitching,374,1.856897604374937,0.30562457920571995,0.2506641748596518,0.6619440317153931
figure4,374,4.737925361737113,0.3880019161619865,0.27426207542009645,0.6561142802238464
full_body_shaking,374,11.325335436238491,0.38198214995258,0.3208631001894829,0.6838462948799133
head_turning,374,3.4638773068000743,0.35438102623521506,0.26647921126027935,0.6670187711715698
ictal_vocalization,374,6.730439990191583,0.301800379933604,0.26308386342752144,0.6641049981117249
limb_automatisms,374,5.836170794581035,0.35599844736193176,0.2944835481807878,0.6780950427055359
occur_during_sleep,374,3.002197019896812,0.2925425079990605,0.26523606513456266,0.6610308289527893
oral_automatisms,374,12.537235092731562,0.3788221658605749,0.3334314983709021,0.684104323387146
pelvic_thrusting,374,4.839811528637287,0.3317116418706278,0.2732287336708429,0.6658118963241577
tonic,374,4.355363857718147,0.2944107326285224,0.23517990412283965,0.6465469002723694
verbal_responsiveness,374,1.4354150708136524,0.2436305433412003,0.2090549466950553,0.6302698850631714
AVG_20,374,5.127567158547924,0.3355270290521274,0.27437380369697123,0.6593383103609085
