feature,n_pairs,bleu_corpus,rouge1_f_mean,rougeL_f_mean,berts_f1_mean
arm_flexion,431,2.227143186625556,0.30890008482448095,0.22542031147700017,0.6403740644454956
arm_straightening,431,4.4256337724441295,0.3535426933247133,0.24742451205715868,0.6506603360176086
arms_move_simultaneously,431,5.274613933595807,0.35639806009277525,0.3008070456309075,0.6266661286354065
asynchronous_movement,431,2.0331602531083783,0.30347538162088267,0.21059397704346097,0.6335768103599548
blank_stare,431,1.8283756505425286,0.2517035999913944,0.19551620761057759,0.6302208304405212
clonic,431,4.268393659322392,0.3535303856087035,0.24187839125449653,0.6457993984222412
close_eyes,431,9.095922420520406,0.378522355091506,0.34457711334677904,0.6839659214019775
eye_blinking,431,6.547307047406188,0.3941914420992001,0.31297688036468585,0.6800042986869812
face_pulling,431,1.3339005358656795,0.24903972734282687,0.19767855204562046,0.5979267358779907
face_twitching,431,5.010292269149953,0.3261560692592844,0.2346531059463305,0.6425701379776001
figure4,431,5.993385199933267,0.4111884660947305,0.2763435075291731,0.6599918603897095
full_body_shaking,431,6.9869999956820665,0.33176836548221317,0.25924583085846403,0.6272417306900024
head_turning,431,4.905783001127491,0.3672438759534444,0.25626137727089066,0.6568440198898315
limb_automatisms,431,3.482224748148453,0.32151753766018126,0.25547483226222956,0.6524345874786377
occur_during_sleep,431,4.848189691812177,0.32166511648069407,0.2669621799867949,0.6581560373306274
oral_automatisms,431,11.512083078380124,0.3702985233796204,0.3211585088360768,0.6640220284461975
pelvic_thrusting,431,4.065791413113787,0.325840075463825,0.251289916913351,0.6545298099517822
tonic,431,4.182008670547356,0.3276533528439831,0.22729655094160298,0.6448239684104919
